baseDate,movingPath,pathSize,movingCount
20190801,천지연폭포|칠십리공원_A|서귀포예술의전당|걸매생태공원,4,1
20190801,한국방송통신대학|서부두 명품회집거리|동문시장|한국방송통신대학|동문시장|서부두 명품회집거리|한국방송통신대학|동문시장|동산교|서부두 명품회집거리|한국방송통신대학|서부두 명품회집거리|동문시장|한국방송통신대학|동산교|동문시장|동산교|제주월드컵경기장 서귀포버스터미널|월드컵경기장 대도로변 입구 매표소|세리월드_동화속미로공원|월드컵경기장 대도로변 입구 매표소|제주월드컵경기장 서귀포버스터미널|월드컵경기장 대도로변 입구 매표소|세리월드_동화속미로공원|천지연폭포|자치경찰단 서귀포지역경찰대|서귀포여자고등학교(북)|서귀포시외버스터미날|제주월드컵경기장 서귀포버스터미널|월드컵경기장 대도로변 입구 매표소|세계조가비박물관|칠십리공원_A|청소년문화의집(북)|흑돼지 거리,34,1
20190801,GS25 서광점|소인국테마파크|중문동(남)|8코스|주상절리대|천지연폭포|자치경찰단 서귀포지역경찰대|솔동산 문화의 거리|천지동 아랑조을거리|아랑조을거리 공영주차장|제주은행(북)|삼아아파트|만장굴,13,1
20190801,만장굴|천지연폭포|정방폭포|칠십리 음식 특화거리|정방폭포(주차장)|정방폭포|정방폭포(주차장)|남서광마을,8,1
20190801,오현중고등학교|제주대학교교육대학|문예회관|제주대학교교육대학|탐라장애인 종합복지관|남서광마을|남서광마을입구(남)|한국병원|문예회관|제주대학교교육대학|제주특별자치도청|남서광마을입구(남)|한국병원|문예회관|제주대학교교육대학|남서광마을입구(남)|한국병원|문예회관|노형오거리|노형우체국|정존마을|남서광마을입구(남)|한국병원|노형오거리|남서광마을입구(남)|한국병원|노형우체국|정존마을|노형우체국|중문관광단지|정존마을|노형우체국|정존마을|서귀포여자고등학교(북)|정존마을|천지연폭포|솔동산 문화의 거리|중문관광단지,38,1
20190801,우리은행 서귀포점 인근 공영주차장|솔동산 문화의 거리|천지연폭포|칠십리 음식 특화거리,4,1
20190801,운진항|10-1코스|운진항|사계 해변|안덕계곡|천지연폭포|칠십리공원_A|세계조가비박물관|서귀포예술의전당|서귀포여자고등학교(북),10,1
20190801,천지연폭포|서귀북초등학교(동)|중앙로터리|동미빌딩|제주은행(북),5,1
20190801,천지연폭포|서귀포매일올레시장|중앙공원|우리은행 서귀포점 인근 공영주차장|서귀포매일올레시장|제주은행(북),6,1
20190801,천지연폭포|솔동산 문화의 거리|천지연폭포|퐁낭 작은 도서관 앞 공영주차장(비석거리),4,1
20190801,천지연폭포|칠십리 음식 특화거리|서귀북초등학교(동),3,1
20190801,표선면6|표선면4|천지연폭포|서귀포매일올레시장|중앙공원|비석거리,6,1
20190801,서귀포감귤박물관|삼성여자고등학교(북)|천지연폭포,3,1
20190801,"서사라 문화거리|삼성혈-3|삼성혈 문화의 거리|서사라 문화거리|삼성혈 문화의 거리|효돈동2|천지연폭포|정방폭포(주차장)|정방폭포|서귀포여자고등학교(북)|약천사|GS25 대포점|8코스|산방산(용머리, 하멜상선)|산방산|건강과성박물관|안덕계곡 주차장|신비의도로(도깨비도로)",18,1
20190801,소암현중화기념관|솔동산 문화의 거리|천지연폭포|동미빌딩|비석거리|삼아아파트|동미빌딩|제주은행(북)|아랑조을거리 공영주차장|7-1코스|세계조가비박물관|솔동산 문화의 거리|서복전시관|월드컵경기장 대도로변 입구 매표소|비석거리|산남새마을금고,16,1
20190801,이중섭거리|솔동산 문화의 거리|천지연폭포|칠십리공원_A,4,1
20190801,중문관광단지|중문관광단지입구 (남)|GS25 중문사거리점|엉또폭포|천지연폭포|칠십리공원_A,6,1
20190801,중앙로터리|우리은행 서귀포점 인근 공영주차장|서귀포시청 1청사|칠십리공원_A|천지동자원순환센터|우리은행 서귀포점 인근 공영주차장|제주은행(북)|천지연폭포|효돈동2|효돈동1,10,1
20190801,천지동자원순환센터|자치경찰단 서귀포지역경찰대|천지연폭포|칠십리 음식 특화거리|서귀북초등학교(동)|천지동 아랑조을거리|서귀북초등학교(동),7,1
20190801,천지연폭포|8코스|주상절리대(제1매표소),3,1
20190801,천지연폭포|자치경찰단 서귀포지역경찰대|청소년문화의집(북)|중앙공원|우리은행 서귀포점 인근 공영주차장|서귀포매일올레시장|중앙공원|우리은행 서귀포점 인근 공영주차장|중앙공원,9,1
20190801,천지연폭포|제주은행(북)|GS25 대포점|서귀포서부도서관|중문우체국|협재해변|협재 해변|오일시장 일대 공영주차장,8,1
20190801,탑동 테마거리|문화의 거리|제주목관아|서귀포시 구 버스터미널|천지동자원순환센터|서귀포시청 1청사|중앙로터리|서귀포시 구 버스터미널|천지동자원순환센터|중앙로터리|천지동자원순환센터|칠십리공원_A|천지연폭포|솔동산 문화의 거리|서귀포성당 뒤 주차장(솔동산로근처)|솔동산 문화의 거리|자치경찰단 서귀포지역경찰대|동문로터리|문화의 거리|제주목관아|문화의 거리|칠성로 쇼핑거리|탑동입구|칠성로 쇼핑거리|제주목관아,25,1
