oid,collection_dt,longitude,latitude,address
461000ec,20210814162937096,126.492056,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
46101895,20210814162937299,126.370298,33.278984,"중산간서로, 상창리, 서귀포시, 제주특별자치도, 63537, 대한민국"
461002e3,20210814162937393,126.805537,33.375127,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
4610051d,20210814162937393,126.168238,33.320681,"한경해안로, 용당리, 제주시, 제주특별자치도, 63008, 대한민국"
46100734,20210814162937518,126.412122,33.251023,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162937596,126.412122,33.251023,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162937706,126.343895,33.3037,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162937768,126.493494,33.235487,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
46100283,20210814162937924,126.660988,33.469713,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162937940,126.660988,33.469713,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002d5,20210814162937987,126.483352,33.474287,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
461006da,20210814162938018,126.201845,33.365846,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
461002db,20210814162938034,126.351426,33.356122,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
46101334,20210814162938081,126.59632,33.48944,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
46101334,20210814162938081,126.59632,33.48944,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162938096,126.492056,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
4610037e,20210814162938128,126.6601155,33.4697908,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100495,20210814162938206,126.7874079,33.399262,"번영로, 성읍리, 서귀포시, 제주특별자치도, 대한민국"
46101895,20210814162938315,126.370048,33.279029,"중산간서로, 상창리, 서귀포시, 제주특별자치도, 63537, 대한민국"
461002e3,20210814162938425,126.805429,33.375236,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46100734,20210814162938550,126.412097,33.250972,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162938628,126.412097,33.250972,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162938737,126.343988,33.303518,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162938784,126.493374,33.235432,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
46100283,20210814162938956,126.661151,33.469721,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162938956,126.661151,33.469721,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002d5,20210814162939003,126.483352,33.474287,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
461006da,20210814162939034,126.201929,33.365905,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
461002db,20210814162939050,126.351554,33.356014,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
46101334,20210814162939097,126.596424,33.489371,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
46101334,20210814162939112,126.596424,33.489371,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162939128,126.492056,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
46101895,20210814162939331,126.369827,33.279068,"중산간서로, 상창리, 서귀포시, 제주특별자치도, 63537, 대한민국"
461002e3,20210814162939425,126.805314,33.375357,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46100734,20210814162939550,126.412065,33.250912,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162939566,126.412065,33.250912,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162939753,126.344084,33.303328,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162939816,126.493286,33.235383,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
46100283,20210814162939972,126.661315,33.46973,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162939988,126.661315,33.46973,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002d5,20210814162940019,126.483352,33.474286,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
461006da,20210814162940050,126.202036,33.365978,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
461002db,20210814162940066,126.35169,33.355899,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
46101334,20210814162940113,126.596526,33.489304,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162940144,126.492056,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
46101334,20210814162940144,126.596526,33.489304,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
46100320,20210814162940285,180.0000001,90.0000001,
46101895,20210814162940347,126.369613,33.279103,"중산간서로, 상창리, 서귀포시, 제주특별자치도, 63537, 대한민국"
461002e3,20210814162940456,126.805224,33.375455,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46100734,20210814162940566,126.412024,33.250851,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162940597,126.412024,33.250851,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162940753,126.344169,33.30315,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162940816,126.493179,33.235314,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
46100283,20210814162941003,126.661473,33.469739,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162941003,126.661473,33.469739,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002d5,20210814162941035,126.483353,33.474286,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
461006da,20210814162941066,126.202129,33.36604,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
461002db,20210814162941082,126.351811,33.355793,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
46101334,20210814162941144,126.596623,33.489242,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
46101334,20210814162941144,126.596623,33.489242,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162941160,126.492056,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
461002e3,20210814162941472,126.805115,33.375572,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46100734,20210814162941566,126.411978,33.250794,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162941629,126.411978,33.250794,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162941785,126.344273,33.302923,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
461012cf,20210814162941847,126.493091,33.235253,"이어도로, 법환동, 서귀포시, 제주특별자치도, 63573, 대한민국"
46100283,20210814162942019,126.661631,33.469746,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
46100283,20210814162942035,126.661631,33.469746,"번영로, 제주시, 제주특별자치도, 63343, 대한민국"
461002d5,20210814162942051,126.483353,33.474286,"1100로, 노형동, 제주시, 제주특별자치도, 63087, 대한민국"
461006da,20210814162942082,126.202257,33.366127,"일주서로, 금등리, 제주시, 제주특별자치도, 63002, 대한민국"
461002db,20210814162942098,126.351937,33.355691,"월각로, 제주시, 제주특별자치도, 63038, 대한민국"
46101334,20210814162942160,126.596713,33.489186,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
46101334,20210814162942176,126.596713,33.489186,"카페봄봄, 524, 번영로, 봉개동, 제주시, 제주특별자치도, 63327, 대한민국"
461000ec,20210814162942191,126.492055,33.495891,"다호길, 도두이동, 제주시, 제주특별자치도, 63115, 대한민국"
461002e3,20210814162942473,126.805017,33.375677,"번영로, 하천리, 서귀포시, 제주특별자치도, 63635, 대한민국"
46101895,20210814162942520,126.369011,33.279192,"창고천교, 상창리, 서귀포시, 제주특별자치도, 63537, 대한민국"
46100734,20210814162942598,126.411916,33.250721,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46100734,20210814162942660,126.411916,33.250721,"중문관광로72번길, 서귀포시, 제주특별자치도, 63535, 대한민국"
46101369,20210814162942785,126.344373,33.30271,"한창로, 동광리, 서귀포시, 제주특별자치도, 63522, 대한민국"
